Date,Pl0,Pl1,Pl0_last_7,Pl0_last_20,Pl1_last_7,Pl1_last_20
2007-01-17,Harkleroad A.,Yuan M.,0.0,0.0,0.0,0.0
2007-01-17,Rezai A.,Loit E.,0.0,0.0,0.67,0.67
2007-01-17,Hantuchova D.,Cornet A.,0.33,0.33,0.0,0.0
2007-01-17,Ruano Pascual V.,Jankovic J.,1.0,1.0,0.86,0.91
2007-01-17,Kuznetsova S.,Adamczak M.,0.5,0.5,1.0,1.0
2007-01-17,Vesnina E.,Camerin M.E.,0.6,0.6,0.33,0.33
2007-01-17,Azarenka V.,Bartoli M.,1.0,1.0,0.5,0.5
2007-01-17,Vakulenko J.,Kirilenko M.,1.0,1.0,0.5,0.5
2007-01-17,Dementieva E.,Muller M.,0.67,0.67,0.33,0.33
2007-01-17,Dulko G.,Petrova N.,0.5,0.5,0.5,0.5
2007-01-17,Peer S.,Tu M.,0.71,0.75,0.5,0.5
2007-01-17,Schiavone F.,Safarova L.,0.5,0.5,0.67,0.67
2007-01-17,Birnerova E.,Schruff J.,0.5,0.5,0.5,0.5
2007-01-17,Sugiyama A.,Yakimova A.,0.33,0.33,1.0,1.0
2007-01-17,Golovin T.,Ondraskova Z.,0.67,0.67,1.0,1.0
2007-01-17,Kremer A.,Williams S.,1.0,1.0,0.75,0.75
2007-01-17,Srebotnik K.,Benesova I.,0.67,0.67,0.5,0.5
2007-01-17,Sequera M.,Vaidisova N.,0.67,0.67,0.8,0.8
2007-01-17,Mauresmo A.,Poutchkova O.,0.67,0.67,0.6,0.6
2007-01-18,Kudryavtseva A.,Hingis M.,1.0,1.0,0.71,0.71
2007-01-18,Nakamura A.,Mirza S.,0.5,0.5,0.8,0.8
2007-01-18,Paszek T.,Zvonareva V.,1.0,1.0,0.71,0.71
2007-01-18,Garbin T.,Voracova R.,0.8,0.8,1.0,1.0
2007-01-18,Razzano V.,Bondarenko A.,0.75,0.75,0.67,0.67
2007-01-18,Chakvetadze A.,Granville L.,1.0,1.0,0.67,0.67
2007-01-18,Morigami A.,Clijsters K.,1.0,1.0,1.0,1.0
2007-01-18,Hantuchova D.,Loit E.,0.5,0.5,0.75,0.75
2007-01-18,Groenefeld A.L.,Harkleroad A.,0.33,0.33,0.5,0.5
2007-01-18,Li N.,Dominguez Lino L.,0.71,0.71,0.5,0.5
2007-01-18,Kanepi K.,Molik A.,0.5,0.5,0.75,0.75
2007-01-18,Safina D.,Fedossova Y.,0.86,0.86,1.0,1.0
2007-01-18,Radwanska A.,Ivanovic A.,1.0,1.0,0.71,0.71
2007-01-18,Schnyder P.,Peng S.,0.67,0.67,0.33,0.33
2007-01-18,Rodionova A.,Sharapova M.,1.0,1.0,1.0,1.0
2007-01-18,Kostanic J.,Stosur S.,0.33,0.33,0.67,0.67
2007-01-19,Petrova N.,Williams S.,0.67,0.67,0.8,0.8
2007-01-19,Jankovic J.,Azarenka V.,0.86,0.92,1.0,1.0
2007-01-19,Yakimova A.,Safarova L.,1.0,1.0,0.75,0.75
2007-01-19,Kuznetsova S.,Kirilenko M.,0.67,0.67,0.6,0.6
2007-01-19,Birnerova E.,Mauresmo A.,0.67,0.67,0.75,0.75
2007-01-19,Dementieva E.,Camerin M.E.,0.75,0.75,0.5,0.5
2007-01-19,Golovin T.,Peer S.,0.75,0.75,0.71,0.78
2007-01-19,Vaidisova N.,Srebotnik K.,0.83,0.83,0.71,0.71
2007-01-20,Garbin T.,Sharapova M.,0.83,0.83,1.0,1.0
2007-01-20,Clijsters K.,Bondarenko A.,1.0,1.0,0.75,0.75
2007-01-20,Nakamura A.,Hingis M.,0.6,0.6,0.71,0.75
2007-01-20,Zvonareva V.,Ivanovic A.,0.71,0.75,0.71,0.75
2007-01-20,Molik A.,Schnyder P.,0.8,0.8,0.75,0.75
2007-01-21,Hantuchova D.,Harkleroad A.,0.6,0.6,0.67,0.67
2007-01-21,Safina D.,Li N.,0.86,0.88,0.71,0.75
2007-01-21,Chakvetadze A.,Kostanic J.,1.0,1.0,0.5,0.5
2007-01-21,Mauresmo A.,Safarova L.,0.8,0.8,0.8,0.8
2007-01-21,Peer S.,Kuznetsova S.,0.71,0.8,0.75,0.75
2007-01-21,Dementieva E.,Vaidisova N.,0.8,0.8,0.86,0.86
2007-01-21,Williams S.,Jankovic J.,0.83,0.83,0.86,0.92
2007-01-22,Li N.,Hingis M.,0.86,0.78,0.71,0.78
2007-01-22,Clijsters K.,Hantuchova D.,1.0,1.0,0.67,0.67
2007-01-22,Schnyder P.,Chakvetadze A.,0.8,0.8,1.0,1.0
2007-01-22,Sharapova M.,Zvonareva V.,1.0,1.0,0.71,0.78
2007-01-23,Safarova L.,Vaidisova N.,0.83,0.83,0.86,0.88
2007-01-23,Williams S.,Peer S.,0.86,0.86,0.86,0.82
2007-01-24,Chakvetadze A.,Sharapova M.,1.0,1.0,1.0,1.0
2007-01-24,Clijsters K.,Hingis M.,1.0,1.0,0.71,0.8
2007-01-25,Vaidisova N.,Williams S.,0.86,0.89,0.86,0.88
2007-01-25,Sharapova M.,Clijsters K.,1.0,1.0,1.0,1.0
2007-01-27,Sharapova M.,Williams S.,1.0,1.0,0.86,0.89
2007-01-30,Ivanovic A.,Perry S.,0.57,0.67,0.0,0.0
2007-01-30,Shaughnessy M.,Pratt N.,0.0,0.0,0.4,0.4
2007-01-30,Bremond S.,Bartoli M.,0.4,0.4,0.4,0.4
2007-01-30,Hantuchova D.,Vinci R.,0.57,0.57,0.0,0.0
2007-01-30,Li N.,Osterloh L.,0.71,0.7,0.0,0.0
2007-01-30,Takao E.,Schiavone F.,0.0,0.0,0.33,0.33
2007-01-31,Zheng J.,Mattek B.,0.5,0.5,0.0,0.0
2007-01-31,Nakamura A.,Santangelo M.,0.5,0.5,0.33,0.33
2007-01-31,Likhovtseva E.,Dulko G.,0.0,0.0,0.4,0.4
2007-01-31,Zvonareva V.,Stosur S.,0.57,0.7,0.57,0.57
2007-01-31,Kirilenko M.,Peer S.,0.5,0.5,0.71,0.75
2007-01-31,Vesnina E.,Sugiyama A.,0.5,0.5,0.25,0.25
2007-01-31,Hingis M.,Pratt N.,0.57,0.73,0.5,0.5
2007-02-01,Zheng J.,Jankovic J.,0.6,0.6,0.71,0.86
2007-02-01,Vinci R.,Bremond S.,0.25,0.25,0.5,0.5
2007-02-01,Likhovtseva E.,Dementieva E.,0.25,0.25,0.67,0.67
2007-02-01,Ivanovic A.,Santangelo M.,0.71,0.7,0.5,0.5
2007-02-01,Kirilenko M.,Sugiyama A.,0.57,0.57,0.4,0.4
2007-02-01,Stosur S.,Li N.,0.57,0.62,0.71,0.73
2007-02-01,Schiavone F.,Sharapova M.,0.5,0.5,0.86,0.86
2007-02-02,Sharapova M.,Sugiyama A.,0.86,0.88,0.5,0.5
2007-02-02,Jankovic J.,Ivanovic A.,0.71,0.87,0.71,0.73
2007-02-02,Hingis M.,Stosur S.,0.71,0.75,0.57,0.67
2007-02-02,Vinci R.,Dementieva E.,0.4,0.4,0.71,0.71
2007-02-03,Ivanovic A.,Sharapova M.,0.71,0.75,0.86,0.89
2007-02-03,Dementieva E.,Hingis M.,0.71,0.75,0.86,0.77
2007-02-04,Hingis M.,Ivanovic A.,0.86,0.79,0.86,0.77
2007-02-05,Krajicek M.,Safina D.,0.0,0.0,0.71,0.78
2007-02-05,Loit E.,Daniilidou E.,0.6,0.6,0.5,0.5
2007-02-06,Radwanska A.,Muller M.,0.5,0.5,0.25,0.25
2007-02-06,Srebotnik K.,Cohen Aloro S.,0.57,0.62,0.0,0.0
2007-02-06,Garbin T.,Dechy N.,0.71,0.71,0.0,0.0
2007-02-06,Safarova L.,Pironkova T.,0.71,0.71,0.0,0.0
2007-02-06,Szavay A.,Pin C.,0.0,0.0,0.6,0.6
2007-02-06,Vaidisova N.,Rezai A.,0.71,0.8,0.0,0.0
2007-02-06,Schnyder P.,Bychkova E.,0.67,0.67,0.0,0.0
2007-02-07,Chakvetadze A.,Poutchkova O.,0.86,0.9,0.5,0.5
2007-02-07,Bremond S.,Medina Garrigues A.,0.43,0.43,0.33,0.33
2007-02-07,Golovin T.,Cornet A.,0.6,0.6,0.0,0.0
2007-02-07,Pin C.,Safina D.,0.67,0.67,0.71,0.8
2007-02-07,Henin J.,Loit E.,0.0,0.0,0.67,0.67
2007-02-07,Srebotnik K.,Kuznetsova S.,0.71,0.67,0.6,0.6
2007-02-08,Chakvetadze A.,Medina Garrigues A.,0.86,0.91,0.5,0.5
2007-02-08,Muller M.,Petrova N.,0.4,0.4,0.5,0.5
2007-02-08,Golovin T.,Bychkova E.,0.67,0.67,0.33,0.33
2007-02-08,Dechy N.,Mauresmo A.,0.5,0.5,0.67,0.67
2007-02-08,Safarova L.,Vaidisova N.,0.71,0.75,0.86,0.82
2007-02-09,Safina D.,Petrova N.,0.71,0.82,0.6,0.6
2007-02-09,Safarova L.,Kuznetsova S.,0.86,0.78,0.67,0.67
2007-02-09,Golovin T.,Henin J.,0.71,0.71,1.0,1.0
2007-02-09,Mauresmo A.,Chakvetadze A.,0.71,0.71,0.86,0.92
2007-02-10,Henin J.,Safarova L.,1.0,1.0,0.86,0.8
2007-02-10,Petrova N.,Mauresmo A.,0.67,0.67,0.71,0.75
2007-02-11,Safarova L.,Petrova N.,0.86,0.82,0.71,0.71
2007-02-05,Santangelo M.,Gajdosova J.,0.4,0.4,0.0,0.0
2007-02-05,Bondarenko K.,Molik A.,0.0,0.0,0.67,0.67
2007-02-05,Mirza S.,Castano C.,0.67,0.67,0.57,0.57
2007-02-05,Hsieh S.W.,Peng S.,0.0,0.0,0.25,0.25
2007-02-05,Rodionova A.,Tangphong M.,0.5,0.5,0.0,0.0
2007-02-06,Lertcheewakarn N.,Nakamura A.,0.0,0.0,0.43,0.43
2007-02-06,Obziler T.,Fedak Y.,0.0,0.0,0.25,0.25
2007-02-06,Yuan M.,Kudryavtseva A.,0.0,0.0,0.5,0.5
2007-02-06,Dulko G.,Sun T.T.,0.33,0.33,0.33,0.33
2007-02-06,Kirilenko M.,Pratt N.,0.43,0.5,0.43,0.43
2007-02-06,Oprandi R.,Savchuk O.,0.25,0.25,0.0,0.0
2007-02-06,Llagostera Vives N.,Bartoli M.,0.0,0.0,0.33,0.33
2007-02-06,Bammer S.,Bardina V.,0.5,0.5,0.67,0.67
2007-02-06,Klepac A.,Sucha M.,0.0,0.0,0.0,0.0
2007-02-06,Tanasugarn T.,Chan Y.J.,0.0,0.0,0.0,0.0
2007-02-06,Kostanic J.,King V.,0.4,0.4,0.0,0.0
2007-02-07,Santangelo M.,Kudryavtseva A.,0.5,0.5,0.67,0.67
2007-02-07,Tanasugarn T.,Mirza S.,0.5,0.5,0.71,0.71
2007-02-07,Bammer S.,Rodionova A.,0.57,0.57,0.67,0.67
2007-02-07,Oprandi R.,Peng S.,0.4,0.4,0.4,0.4
2007-02-08,Dulko G.,Molik A.,0.43,0.43,0.71,0.71
2007-02-08,Nakamura A.,Obziler T.,0.57,0.5,0.33,0.33
2007-02-08,Pratt N.,King V.,0.43,0.5,0.33,0.33
2007-02-08,Bartoli M.,Sucha M.,0.43,0.43,0.5,0.5
2007-02-09,Bammer S.,Sucha M.,0.71,0.62,0.67,0.67
2007-02-09,Obziler T.,Peng S.,0.5,0.5,0.5,0.5
2007-02-09,Dulko G.,Pratt N.,0.43,0.5,0.57,0.56
2007-02-09,Santangelo M.,Mirza S.,0.57,0.57,0.71,0.75
2007-02-10,Bammer S.,Peng S.,0.71,0.67,0.57,0.57
2007-02-10,Mirza S.,Dulko G.,0.71,0.78,0.57,0.56
2007-02-11,Bammer S.,Dulko G.,0.71,0.7,0.71,0.6
2007-02-12,Daniilidou E.,Chakvetadze A.,0.4,0.4,0.71,0.85
2007-02-12,Krajicek M.,Muller M.,0.0,0.0,0.33,0.33
2007-02-12,Vesnina E.,Safina D.,0.43,0.43,0.57,0.75
2007-02-12,Schnyder P.,Flipkens K.,0.57,0.57,0.0,0.0
2007-02-13,Groenefeld A.L.,Razzano V.,0.25,0.25,0.6,0.6
2007-02-13,Bammer S.,Maes C.,0.71,0.73,0.0,0.0
2007-02-13,Schruff J.,Dechy N.,0.33,0.33,0.33,0.33
2007-02-13,Poutchkova O.,Bremond S.,0.43,0.43,0.29,0.38
2007-02-13,Osterloh L.,Zvonareva V.,0.0,0.0,0.43,0.64
2007-02-13,Likhovtseva E.,Dushevina V.,0.2,0.2,0.0,0.0
2007-02-13,Srebotnik K.,Golovin T.,0.57,0.6,0.57,0.62
2007-02-14,Ivanovic A.,Yakimova A.,0.71,0.71,0.67,0.67
2007-02-14,Bammer S.,Chakvetadze A.,0.86,0.75,0.71,0.86
2007-02-14,Golovin T.,Schnyder P.,0.71,0.67,0.57,0.62
2007-02-14,Poutchkova O.,Clijsters K.,0.43,0.5,0.86,0.9
2007-02-14,Safina D.,Krajicek M.,0.71,0.77,0.25,0.25
2007-02-15,Zvonareva V.,Petrova N.,0.57,0.67,0.86,0.75
2007-02-15,Likhovtseva E.,Dementieva E.,0.33,0.33,0.71,0.67
2007-02-15,Razzano V.,Mauresmo A.,0.67,0.67,0.71,0.67
2007-02-15,Ivanovic A.,Dechy N.,0.71,0.73,0.5,0.5
2007-02-16,Petrova N.,Chakvetadze A.,0.86,0.78,0.71,0.87
2007-02-16,Mauresmo A.,Safina D.,0.71,0.7,0.71,0.79
2007-02-16,Ivanovic A.,Clijsters K.,0.86,0.75,0.86,0.91
2007-02-16,Golovin T.,Likhovtseva E.,0.71,0.7,0.43,0.43
2007-02-17,Chakvetadze A.,Mauresmo A.,0.71,0.88,0.71,0.73
2007-02-17,Clijsters K.,Golovin T.,0.86,0.92,0.71,0.73
2007-02-18,Clijsters K.,Mauresmo A.,0.86,0.92,0.71,0.75
