Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
Stepanek R.,Stebe C.M.,0.0,0.77,0.23,1.35,3.11,1.4,3.44,1.3,4.35,0.07142857142857134,-0.20919540229885053
Kubot L.,Kohlschreiber P.,1.0,0.32,0.68,3.04,1.36,3.4,1.41,3.12,1.47,0.08235294117647053,-0.04081632653061228
Haas T.,Granollers M.,0.0,0.78,0.22,1.36,3.05,1.41,3.31,1.28,4.55,0.09219858156028361,-0.2725274725274725
Lacko L.,Nadal R.,1.0,0.05,0.95,12.15,1.03,20.0,1.05,20.0,1.05,0.0,0.0
Federer R.,Mayer F.,0.0,0.87,0.13,1.05,9.55,1.09,12.0,1.15,7.69,-0.05217391304347812,0.35916666666666663
Stepanek R.,Youzhny M.,1.0,0.51,0.49,2.49,1.52,2.67,1.57,1.96,2.04,0.26591760299625467,-0.23039215686274508
Kohlschreiber P.,Nadal R.,0.0,0.15,0.85,6.08,1.12,7.0,1.17,6.67,1.18,0.04714285714285715,-0.00847457627118645
Raonic M.,Federer R.,1.0,0.12,0.88,3.56,1.28,4.0,1.33,8.33,1.14,-0.5198079231692677,0.142857142857143
Haas T.,Berdych T.,0.0,0.31,0.69,3.7,1.27,4.0,1.32,3.23,1.45,0.1925,-0.08965517241379303
Youzhny M.,Federer R.,1.0,0.1,0.9,8.48,1.07,11.0,1.09,10.0,1.11,0.09090909090909091,-0.018018018018018032
Haas T.,Kohlschreiber P.,0.0,0.53,0.47,2.24,1.62,2.38,1.75,1.89,2.13,0.2058823529411765,-0.17840375586854457
Federer R.,Haas T.,1.0,0.88,0.12,1.09,7.13,1.11,9.6,1.14,8.33,-0.026315789473684043,0.13229166666666664
Anderson K.,Ward J.,0.0,0.86,0.14,1.19,4.5,1.22,5.0,1.16,7.14,0.04918032786885251,-0.29971988795518206
Garcia-Lopez G.,Mahut N.,1.0,0.4,0.6,3.0,1.38,3.21,1.42,2.5,1.67,0.22118380062305296,-0.14970059880239522
Baker J.,Golding O.,0.0,0.85,0.15,1.45,2.7,1.53,2.88,1.18,6.67,0.22875816993464057,-0.568215892053973
Bachinger M.,Ebden M.,1.0,0.41,0.59,2.15,1.68,2.25,1.8,2.44,1.69,-0.07786885245901637,0.061111111111111165
Darcis S.,Ramirez-Hidalgo R.,0.0,0.9,0.1,1.12,6.01,1.15,7.0,1.11,10.0,0.034782608695652015,-0.3
Korolev E.,Roger-Vasselin E.,1.0,0.26,0.74,2.79,1.42,3.0,1.48,3.85,1.35,-0.2207792207792208,0.08783783783783777
Muller G.,Broady L.,0.0,0.95,0.05,1.04,10.71,1.07,15.0,1.05,20.0,0.018691588785046745,-0.25
Tursunov D.,Sweeting R.,1.0,0.8,0.2,1.28,3.63,1.33,4.25,1.25,5.0,0.060150375939849676,-0.15
Karlovic I.,Hewitt L.,0.0,0.29,0.71,2.08,1.71,2.2,1.79,3.45,1.41,-0.36231884057971014,0.21229050279329614
Kunitsyn I.,Lu Y.H.,1.0,0.42,0.58,2.55,1.49,2.75,1.56,2.38,1.72,0.13454545454545458,-0.09302325581395345
Stakhovsky S.,Cipolla F.,0.0,0.83,0.17,1.3,3.43,1.35,3.9,1.2,5.88,0.1111111111111112,-0.336734693877551
Reynolds B.,Dimitrov G.,1.0,0.13,0.87,3.6,1.28,4.14,1.3,7.69,1.15,-0.46163849154746434,0.11538461538461549
Bolelli S.,Gulbis E.,0.0,0.64,0.36,2.14,1.68,2.26,1.73,1.56,2.78,0.3097345132743362,-0.3776978417266187
Gil F.,Baghdatis M.,1.0,0.14,0.86,7.6,1.08,10.4,1.11,7.14,1.16,0.3134615384615385,-0.04310344827586192
Querrey S.,Rochus O.,0.0,0.64,0.36,1.31,3.37,1.35,3.99,1.56,2.78,-0.13461538461538458,0.3032581453634086
Klizan M.,Bogomolov A.,1.0,0.35,0.65,2.17,1.66,2.28,1.74,2.86,1.54,-0.20279720279720284,0.11494252873563215
Rosol L.,Hanescu V.,0.0,0.47,0.53,1.91,1.84,2.0,1.96,2.13,1.89,-0.06103286384976521,0.03571428571428575
Ungur A.,Malisse X.,1.0,0.05,0.95,6.45,1.11,8.7,1.14,20.0,1.05,-0.5650000000000001,0.07894736842105252
Istomin D.,De Schepper K.,0.0,0.85,0.15,1.42,2.81,1.45,3.11,1.18,6.67,0.18620689655172415,-0.5337331334332833
Dancevic F.,Dodig I.,1.0,0.34,0.66,2.48,1.52,2.64,1.6,2.94,1.52,-0.10204081632653056,0.050000000000000044
