Date;Player 0;Player 1;Chance Pl0;Chance Pl1;Value on Bet 0;Value on Bet 1;Bet on Player:;Stake;Odds;Won;Profit;;;
29/04/2010;Ferrer D,;Murray A,;0,355987555;0,644012445;-0,384341637;0,356846473;1;1;2,17;NO;-1;;;
29/04/2010;Soderling R,;Wawrinka S,;0,4165132;0,5834868;-0,370833333;0,410344828;1;1;2,72;YES;1,72;;;
29/04/2010;Nadal R,;Hanescu V,;0,946899987;0,053100013;-0,037735849;0,590652174;1;1;18,83;NO;-1;;;
30/04/2010;Djokovic N,;Verdasco F,;0,85769313;0,14230687;0,303571429;-0,627311522;0;1;1,53;NO;-1;;;
30/04/2010;Ferrer D,;Tsonga J,W,;0,485501705;0,514498295;-0,286407767;0,429411765;1;1;2,8;NO;-1;;;
30/04/2010;Wawrinka S,;Nadal R,;0,108620343;0,891379657;0,491160221;-0,0625;0;1;12,31;NO;-1;;;
30/04/2010;Gulbis E,;Lopez F,;0,532543262;0,467456738;-0,20212766;0,298360656;1;1;2,72;NO;-1;;;
01/05/2010;Verdasco F,;Ferrer D,;0,441606397;0,558393603;-0,066371681;0,062827225;1;1;1,78;YES;0,78;;;
01/05/2010;Nadal R,;Gulbis E,;0,924425139;0,075574861;0,018181818;0,221764706;0;1;1,03;YES;0,03;;;
01/05/2010;Nadal R,;Gulbis E,;0,924425139;0,075574861;0,018181818;0,221764706;1;1;11,72;NO;-1;;;
02/05/2010;Ferrer D,;Nadal R,;0,103250944;0,896749056;-0,091847265;0,050847458;1;1;1,1;YES;0,1;;;
03/05/2010;Andreev I,;Kavcic B,;0,73911327;0,26088673;-0,074074074;0,241584158;1;1;4,23;NO;-1;;;
03/05/2010;Beck K,;Serra F,;0,181792009;0,818207991;0,214285714;-0,016393443;0;1;5,35;NO;-1;;;
03/05/2010;Korolev E,;Russell M,;0,673888196;0,326111804;0,113772455;-0,166123779;0;1;1,58;YES;0,58;;;
03/05/2010;Lajovic D,;Karlovic I,;0,336321174;0,663678826;0,55;-0,218543046;0;1;5,66;NO;-1;;;
03/05/2010;Troicki V,;Navarro-Pastor I,;0,775398241;0,224601759;0,007692308;0,043010753;0;1;1,26;YES;0,26;;;
03/05/2010;Troicki V,;Navarro-Pastor I,;0,775398241;0,224601759;0,007692308;0,043010753;1;1;3,73;NO;-1;;;
04/05/2010;Cipolla F,;Ouanna J,;0,305131364;0,694868636;-0,390243902;0,261538462;1;1;1,82;YES;0,82;;;
04/05/2010;Gasquet R,;Rochus O,;0,784980757;0,215019243;-0,015748031;0,153005464;1;1;4,75;NO;-1;;;
04/05/2010;Skugor F,;Fognini F,;0,099259312;0,900740688;-0,781529295;0,39673913;1;1;1,72;YES;0,72;;;
04/05/2010;Krajinovic F,;Donskoy E,;0,666167606;0,333832394;0,23857868;-0,3;0;1;1,79;YES;0,79;;;
04/05/2010;Mayer L,;Seppi A,;0,458375758;0,541624242;0,052173913;0,015957447;0;1;1,98;NO;-1;;;
04/05/2010;Mayer L,;Seppi A,;0,458375758;0,541624242;0,052173913;0,015957447;1;1;1,76;YES;0,76;;;
04/05/2010;Di Mauro A,;Djokovic M,;0,986561254;0,013438746;0,223076923;-0,931326435;0;1;1,22;YES;0,22;;;
05/05/2010;Andreev I,;Karlovic I,;0,587755434;0,412244566;0,028571429;0,016194332;0;1;1,65;YES;0,65;;;
05/05/2010;Andreev I,;Karlovic I,;0,587755434;0,412244566;0,028571429;0,016194332;1;1;2,17;NO;-1;;;
05/05/2010;Korolev E,;Querrey S,;0,41276331;0,58723669;-0,008264463;0,055555556;1;1;1,64;YES;0,64;;;
05/05/2010;Wawrinka S,;Di Mauro A,;0,921228178;0,078771822;0;0,096797153;1;1;9,77;NO;-1;;;
05/05/2010;Serra F,;Troicki V,;0,322380806;0,677619194;-0,151612903;0,075;1;1;1,54;YES;0,54;;;
06/05/2010;Gasquet R,;Seppi A,;0,623461664;0,376538336;-0,075;0,127868852;1;1;2,89;NO;-1;;;
06/05/2010;Ouanna J,;Isner J,;0,193775985;0,806224015;-0,312015504;0,107913669;1;1;1,33;YES;0,33;;;
06/05/2010;Krajinovic F,;Zeballos H,;0,450441784;0,549558216;0,512087912;-0,285714286;0;1;3,87;YES;2,87;;;
06/05/2010;Fognini F,;Djokovic N,;0,113470889;0,886529111;0,449375;-0,07079646;0;1;11,28;NO;-1;;;
07/05/2010;Isner J,;Gasquet R,;0,468910391;0,531089609;0,208178439;-0,138297872;0;1;2,36;YES;1,36;;;
