Date,Pl0,Pl1,Winner,Pl0 %,Pl1 %,Pl0 Avg odds,Pl1 Avg odds,Pl0 Max odds,Pl1 Max odds,Fair odds for Pl0,Fair odds for Pl1,Bet on Pl0 Value,Bet on Pl1 Value
2010-04-26,Querrey S.,Benneteau J.,1.0,0.59,0.41,1.51,2.48,1.6,2.85,1.69,2.44,-0.0532544378698224,0.14385964912280708
2010-04-26,Starace P.,Hajek J.,0.0,0.65,0.35,1.64,2.18,1.73,2.5,1.54,2.86,0.1098265895953757,-0.12587412587412583
2010-04-26,Chela J.I.,Garcia-Lopez G.,1.0,0.5,0.5,1.41,2.79,1.45,3.27,2.0,2.0,-0.275,0.38837920489296635
2010-04-26,Monaco J.,Andreev I.,0.0,0.58,0.42,1.7,2.09,1.81,2.25,1.72,2.38,0.04972375690607739,-0.05462184873949576
2010-04-26,Beck A.,Llodra M.,1.0,0.5,0.5,2.55,1.49,2.8,1.58,2.0,2.0,0.28571428571428564,-0.20999999999999996
2010-04-26,Berdych T.,Granollers M.,0.0,0.78,0.22,1.2,4.25,1.26,4.7,1.28,4.55,-0.015625000000000014,0.03191489361702135
2010-04-26,Mathieu P.H.,Ljubicic I.,1.0,0.33,0.67,3.04,1.35,3.5,1.41,3.03,1.49,0.13428571428571434,-0.05369127516778528
2010-04-26,Volandri F.,Luczak P.,0.0,0.65,0.35,1.92,1.82,2.05,2.02,1.54,2.86,0.24878048780487796,-0.29370629370629364
2010-04-27,Youzhny M.,Hewitt L.,1.0,0.28,0.72,1.45,2.64,1.57,2.9,3.57,1.39,-0.5602240896358543,0.5206896551724138
2010-04-27,Wawrinka S.,Melzer J.,0.0,0.71,0.29,1.43,2.73,1.55,2.9,1.41,3.45,0.09032258064516137,-0.15942028985507253
2010-04-27,Becker B.,Lopez F.,1.0,0.24,0.76,3.05,1.35,3.42,1.42,4.17,1.32,-0.17985611510791366,0.07042253521126751
2010-04-27,Bolelli S.,Greul S.,0.0,0.61,0.39,1.68,2.13,1.91,2.41,1.64,2.56,0.14136125654450263,-0.058593749999999965
2010-04-27,De Bakker T.,Troicki V.,1.0,0.32,0.68,1.57,2.34,1.68,2.6,3.12,1.47,-0.46153846153846156,0.4346153846153846
2010-04-27,Almagro N.,Kubot L.,0.0,0.75,0.25,1.16,4.94,1.2,6.0,1.33,4.0,-0.09774436090225572,0.3333333333333333
2010-04-27,Mayer L.,Bellucci T.,1.0,0.5,0.5,2.64,1.46,3.05,1.53,2.0,2.0,0.34426229508196715,-0.235
2010-04-27,Ferrer D.,Korolev E.,0.0,0.9,0.1,1.09,6.84,1.15,8.0,1.11,10.0,0.034782608695652015,-0.2
